DOI,DID,yyyy,mm,dd,hh,min,timezone,xyear,LatDir,NSflag,LatD,LatM,LatS,LatDecimal,LongDir,EWflag,LongD,LongM,LongS,LongDecimal,altdepflag,altdep,Unit_altdep,sample type,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,Nuclide,Value type,Activity or MDA,Uncertainty_activity,Unit_activity,sample_type2,name_river,river_code_MLT,Correction_Periods,Unit_Periods,Weight,Unit_Weight,SSA,Unit_SSA,Median_D50,Unit_Median,Site_Number
10.34355/CRiED.U.Tsukuba.00020,41,2013,10,30,12,0,JST,2013.829452,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"4,315 ",104 ,Bq kg-1,134Cs,=,"2,102 ",85 ,Bq kg-1,river,Mizusakai,-,34,Day,35.846 ,g,0.1652 ,m2 g-1,45.4 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,42,2013,11,21,12,0,JST,2013.888128,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"13,009 ",316 ,Bq kg-1,134Cs,=,"5,421 ",258 ,Bq kg-1,river,Mizusakai,-,22,Day,0.449 ,g,0.2168 ,m2 g-1,33.3 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,43,2013,12,24,12,0,JST,2013.97968,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"12,574 ",322 ,Bq kg-1,134Cs,=,"4,867 ",255 ,Bq kg-1,river,Mizusakai,-,33,Day,0.495 ,g,0.2253 ,m2 g-1,31.3 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,44,2014,1,17,12,0,JST,2014.043836,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"9,489 ",182 ,Bq kg-1,134Cs,=,"3,688 ",145 ,Bq kg-1,river,Mizusakai,-,24,Day,0.243 ,g,0.2641 ,m2 g-1,26.5 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,45,2014,2,26,12,0,JST,2014.151826,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"16,081 ",371 ,Bq kg-1,134Cs,=,"5,653 ",257 ,Bq kg-1,river,Mizusakai,-,40,Day,1.613 ,g,0.2710 ,m2 g-1,23.5 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,46,2014,8,5,12,0,JST,2014.594292,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"4,832 ",91 ,Bq kg-1,134Cs,=,"1,553 ",62 ,Bq kg-1,river,Mizusakai,-,160,Day,97.506 ,g,0.2119 ,m2 g-1,27.4 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,47,2014,9,9,12,0,JST,2014.688584,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"3,302 ",96 ,Bq kg-1,134Cs,=,"1,115 ",68 ,Bq kg-1,river,Mizusakai,-,35,Day,174.072 ,g,0.1954 ,m2 g-1,32.7 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,48,2014,10,21,12,0,JST,2014.804795,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"1,802 ",53 ,Bq kg-1,134Cs,=,585 ,38 ,Bq kg-1,river,Mizusakai,-,42,Day,151.125 ,g,0.1844 ,m2 g-1,37.3 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,49,2014,12,4,12,0,JST,2014.924886,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"5,374 ",118 ,Bq kg-1,134Cs,=,"1,644 ",80 ,Bq kg-1,river,Mizusakai,-,44,Day,5.654 ,g,0.3814 ,m2 g-1,15.3 ,É m,1
10.34355/CRiED.U.Tsukuba.00020,50,2015,1,15,12,0,JST,2015.038356,N,1,37,35,8,37.58555556,E,1,140,41,32,140.6922222,1,517.5,m,Suspended Matter,137Cs,=,"6,877 ",166 ,Bq kg-1,134Cs,=,"1,837 ",101 ,Bq kg-1,river,Mizusakai,-,42,Day,2.935 ,g,0.2541 ,m2 g-1,24.2 ,É m,1
